Date,Price,Open,High,Low,Vol.,Change %
2023-11-09,24312.92,"23,986.56","24,543.08","23,986.56",290.75M,1.36%
2023-11-12,23910.66,"24,312.92","24,473.74","23,857.08",233.34M,-1.65%
2023-11-13,23954.96,"23,910.66","24,073.77","23,694.68",182.09M,0.19%
2023-11-14,23894.06,"23,954.96","24,216.58","23,842.85",298.91M,-0.25%
2023-11-15,24138.8,"23,894.06","24,196.97","23,894.06",274.90M,1.02%
2023-11-16,24383.27,"24,138.80","24,451.71","24,138.80",294.70M,1.01%
2023-11-19,24899.59,"24,383.27","24,958.79","24,383.27",270.69M,2.12%
2023-11-20,24760.02,"24,899.59","25,337.90","24,726.00",242.59M,-0.56%
2023-11-21,24774.04,"24,760.02","24,774.04","24,517.90",216.01M,0.06%
2023-11-22,25029.57,"24,774.04","25,098.40","24,774.04",227.89M,1.03%
2023-11-23,25519.49,"25,029.57","25,563.41","25,029.57",329.53M,1.96%
2023-11-26,25300.32,"25,519.49","25,743.23","25,241.52",302.66M,-0.86%
2023-11-27,25905.54,"25,300.32","25,945.58","25,300.32",376.14M,2.39%
2023-11-28,25121.73,"25,905.54","25,930.12","25,121.73",273.85M,-3.03%
2023-11-29,24759.16,"25,121.73","25,204.84","24,553.42",299.24M,-1.44%
2023-11-30,24735.39,"24,759.16","25,017.01","24,416.90",281.86M,-0.10%
2023-12-03,24571.98,"24,735.39","24,809.93","24,491.70",227.29M,-0.66%
2023-12-04,25265.41,"24,571.98","25,323.48","24,571.98",357.89M,2.82%
2023-12-05,25127.91,"25,265.41","25,446.14","24,977.73",399.97M,-0.54%
2023-12-06,24703.55,"25,127.91","25,311.40","24,702.38",280.24M,-1.69%
2023-12-07,24686.16,"24,703.55","24,712.70","24,055.32",234.73M,-0.07%
2023-12-10,24189.83,"24,686.16","24,773.06","24,189.83",231.64M,-2.01%
2023-12-11,24182.06,"24,189.83","24,260.98","23,941.25",249.98M,-0.03%
2023-12-12,24071.66,"24,182.06","24,414.73","23,968.87",203.89M,-0.46%
2023-12-13,24773.92,"24,071.66","24,828.13","24,071.66",210.27M,2.92%
2023-12-14,24722.82,"24,773.92","25,056.43","24,722.82",239.11M,-0.21%
2023-12-17,24792.14,"24,722.82","24,979.60","24,722.82",152.26M,0.28%
2023-12-18,25334.09,"24,792.14","25,422.08","24,792.14",204.88M,2.19%
2023-12-19,25076.42,"25,334.09","25,532.20","25,076.42",194.99M,-1.02%
2023-12-20,24837.56,"25,076.42","25,263.79","24,831.11",122.18M,-0.95%
2023-12-21,24305.09,"24,837.56","25,077.59","24,261.88",172.27M,-2.14%
2023-12-24,23822.17,"24,305.09","24,579.60","23,822.17",153.02M,-1.99%
2023-12-25,24226.68,"23,822.17","24,262.07","23,728.23",163.86M,1.70%
2023-12-26,23994.54,"24,226.68","24,408.08","23,857.50",229.16M,-0.96%
2023-12-27,24351.12,"23,994.54","24,481.08","23,994.54",178.66M,1.49%
2023-12-28,24691.43,"24,351.12","25,780.70","24,351.12",199.10M,1.40%
2023-12-31,24894.26,"24,691.43","25,144.43","24,691.43",146.38M,0.82%
2024-01-02,25501.94,"24,894.26","25,501.94","24,894.26",184.28M,2.44%
2024-01-03,25408.51,"25,501.94","25,653.23","25,381.93",309.40M,-0.37%
2024-01-04,25350.28,"25,408.51","25,478.96","25,323.85",189.08M,-0.23%
2024-01-08,25344.63,"25,350.28","25,495.50","25,278.23",149.77M,-0.02%
2024-01-09,25589.99,"25,344.63","25,622.96","25,344.63",206.91M,0.97%
2024-01-10,25466.75,"25,589.99","25,708.30","25,466.75",163.37M,-0.48%
2024-01-11,25519.25,"25,466.75","25,576.13","25,367.83",170.77M,0.21%
2024-01-14,25974.84,"25,519.25","25,996.31","25,519.25",154.23M,1.79%
2024-01-15,26250.73,"25,974.84","26,377.36","25,974.84",201.50M,1.06%
2024-01-16,26938.14,"26,250.73","26,938.14","26,250.73",290.36M,2.62%
2024-01-17,26758.26,"26,938.14","27,166.98","26,756.70",266.31M,-0.67%
2024-01-18,26842.67,"26,758.26","26,931.61","26,670.26",194.42M,0.32%
2024-01-21,27719.37,"26,842.67","27,741.56","26,842.67",249.24M,3.27%
2024-01-22,28050.33,"27,719.37","28,120.90","27,719.37",489.31M,1.19%
2024-01-23,27587.0,"28,050.33","28,102.33","27,536.52",434.08M,-1.65%
2024-01-24,27666.18,"27,587.00","27,702.46","27,467.36",345.10M,0.29%
2024-01-28,28625.76,"27,666.18","28,847.92","27,666.18",303.44M,3.47%
2024-01-29,29227.79,"28,625.76","29,430.92","28,625.76",281.64M,2.10%
2024-01-30,30347.3,"29,227.79","30,347.30","29,193.92",324.39M,3.83%
2024-01-31,28281.91,"30,347.30","30,695.60","28,224.41",415.49M,-6.81%
2024-02-01,28434.37,"28,281.91","28,486.91","26,465.07",241.29M,0.54%
2024-02-04,27573.5,"28,434.37","28,477.74","27,162.86",224.42M,-3.03%
2024-02-05,27665.75,"27,573.50","27,902.36","27,501.60",338.56M,0.33%
2024-02-06,27270.63,"27,665.75","27,881.32","27,034.49",367.85M,-1.43%
2024-02-07,27905.95,"27,270.63","28,281.10","27,270.63",278.98M,2.33%
2024-02-08,28411.41,"27,905.95","28,411.41","27,864.33",243.42M,1.81%
2024-02-11,28199.04,"28,411.41","28,621.86","27,972.28",267.02M,-0.75%
2024-02-12,28494.72,"28,199.04","28,690.51","27,682.75",208.06M,1.05%
2024-02-13,28604.54,"28,494.72","28,836.39","28,306.56",353.48M,0.39%
2024-02-14,28874.99,"28,604.54","28,973.34","28,604.54",503.06M,0.95%
2024-02-15,28926.15,"28,874.99","29,073.30","28,810.56",481.27M,0.18%
2024-02-18,29125.57,"28,926.15","29,178.09","28,926.15",388.16M,0.69%
2024-02-19,29452.4,"29,125.57","29,498.39","29,104.68",354.35M,1.12%
2024-02-20,29330.66,"29,452.40","29,660.61","29,323.75",500.74M,-0.41%
2024-02-21,29292.05,"29,330.66","29,497.60","29,150.82",302.29M,-0.13%
2024-02-22,29309.73,"29,292.05","29,475.80","29,211.75",227.96M,0.06%
2024-02-25,27840.86,"29,309.73","29,309.73","27,106.26",500.65M,-5.01%
2024-02-26,28931.92,"27,840.86","29,341.16","27,806.45",432.94M,3.92%
2024-02-27,29205.16,"28,931.92","30,035.83","28,931.92",475.08M,0.94%
2024-02-28,28876.46,"29,205.16","29,792.91","28,876.46",288.02M,-1.13%
2024-02-29,28964.41,"28,876.46","29,195.67","28,358.83",233.53M,0.30%
2024-03-03,29058.33,"28,964.41","29,398.57","28,564.79",198.12M,0.32%
2024-03-04,30542.33,"29,058.33","30,643.95","29,058.33",364.84M,5.11%
2024-03-05,30668.89,"30,542.33","31,162.75","30,142.07",371.97M,0.41%
2024-03-06,29743.11,"30,668.89","32,217.79","29,743.11",433.39M,-3.02%
2024-03-07,31300.54,"29,743.11","31,300.54","29,743.11",287.31M,5.24%
2024-03-10,32919.95,"31,300.54","33,062.98","31,300.54",396.58M,5.17%
2024-03-11,33382.51,"32,919.95","34,499.42","32,919.95",357.31M,1.41%
2024-03-12,32661.61,"33,382.51","33,382.51","31,979.55",249.44M,-2.16%
2024-03-13,31013.88,"32,661.61","32,746.61","30,485.21",324.64M,-5.04%
2024-03-14,31316.43,"31,013.88","31,594.31","29,959.19",215.08M,0.98%
2024-03-17,31061.88,"31,316.43","31,781.24","31,061.88",260.29M,-0.81%
2024-03-18,29091.29,"31,061.88","31,065.50","29,091.29",250.35M,-6.34%
2024-03-19,28675.7,"29,091.29","29,091.29","28,167.52",206.62M,-1.43%
2024-03-20,28589.37,"28,675.70","29,229.67","28,542.99",177.70M,-0.30%
2024-03-21,29054.96,"28,589.37","29,096.93","28,280.76",258.51M,1.63%
2024-03-24,29060.02,"29,054.96","29,381.38","28,764.76",224.61M,0.02%
2024-03-25,29344.46,"29,060.02","29,344.46","28,935.94",196.53M,0.98%
2024-03-26,29057.5,"29,344.46","29,538.43","28,997.13",211.16M,-0.98%
2024-03-27,28224.37,"29,057.50","29,114.08","28,054.18",160.63M,-2.87%
2024-03-28,27559.35,"28,224.37","28,224.37","27,559.35",151.06M,-2.36%
2024-03-31,26883.39,"27,559.35","27,631.72","26,746.24",148.32M,-2.45%
2024-04-01,28297.17,"26,883.39","28,297.17","26,883.39",199.76M,5.26%
2024-04-02,27934.36,"28,297.17","28,659.08","27,934.36",217.54M,-1.28%
2024-04-03,27937.22,"27,934.36","27,978.76","27,643.50",141.80M,0.01%
2024-04-04,28506.16,"27,937.22","28,618.34","27,937.22",214.65M,2.04%
