Date,Price,Open,High,Low,Vol.,Change %
2009-11-25,6376.44,"6,329.93","6,418.33","6,329.93",37.13M,0.95%
2009-11-30,5868.47,"6,179.45","6,179.45","5,868.42",80.30M,-7.97%
2009-12-01,6067.59,"5,867.05","6,069.14","5,867.05",61.62M,3.39%
2009-12-02,6239.79,"6,110.86","6,241.37","6,110.54",52.95M,2.84%
2009-12-03,6384.42,"6,261.28","6,392.80","6,261.28",48.11M,2.32%
2009-12-06,6379.18,"6,415.03","6,437.98","6,366.76",44.35M,-0.08%
2009-12-07,6322.9,"6,356.95","6,356.95","6,280.31",39.50M,-0.88%
2009-12-08,6365.18,"6,322.54","6,394.82","6,322.09",44.67M,0.67%
2009-12-09,6132.8,"6,337.61","6,337.61","6,129.16",83.60M,-3.65%
2009-12-10,6192.8,"6,142.32","6,202.03","6,142.32",47.23M,0.98%
2009-12-13,6580.44,"6,399.29","6,590.32","6,399.29",74.22M,6.26%
2009-12-14,6609.03,"6,670.97","6,708.12","6,609.03",80.82M,0.43%
2009-12-15,6483.29,"6,543.21","6,543.21","6,483.29",85.37M,-1.90%
2009-12-16,6484.95,"6,478.30","6,527.16","6,478.30",50.95M,0.03%
2009-12-17,6477.86,"6,468.38","6,477.86","6,424.38",65.54M,-0.11%
2009-12-20,6496.58,"6,499.14","6,534.86","6,493.52",39.40M,0.29%
2009-12-21,6411.7,"6,491.97","6,491.97","6,411.55",62.60M,-1.31%
2009-12-22,6443.27,"6,428.42","6,517.35","6,428.42",40.43M,0.49%
2009-12-23,6393.54,"6,421.10","6,421.38","6,371.18",38.34M,-0.77%
2009-12-24,6380.44,"6,397.53","6,429.13","6,380.35",38.88M,-0.20%
2009-12-27,6277.02,"6,388.83","6,401.24","6,277.02",37.33M,-1.62%
2009-12-28,6153.85,"6,249.80","6,250.12","6,124.44",42.77M,-1.96%
2009-12-29,6257.88,"6,178.68","6,259.62","6,178.68",28.45M,1.69%
2009-12-30,6198.35,"6,274.27","6,295.64","6,198.35",35.74M,-0.95%
2009-12-31,6208.77,"6,190.93","6,209.16","6,185.92",47.14M,0.17%
2010-01-03,6272.0,"6,214.28","6,273.73","6,208.34",41.35M,1.02%
2010-01-04,6323.9,"6,274.82","6,333.31","6,272.61",70.57M,0.83%
2010-01-05,6420.49,"6,350.43","6,430.47","6,349.13",57.50M,1.53%
2010-01-06,6436.87,"6,411.13","6,451.92","6,407.23",86.15M,0.26%
2010-01-10,6476.19,"6,467.42","6,510.81","6,467.42",69.90M,0.61%
